Date,Open,High,Low,Close,Adj Close,Volume
2014-04-14,540.000000,555.000000,540.000000,550.000000,550.000000,25806600
2014-04-15,545.000000,555.000000,545.000000,550.000000,550.000000,17032500
2014-04-16,550.000000,555.000000,545.000000,550.000000,550.000000,16267600
2014-04-17,550.000000,555.000000,540.000000,545.000000,545.000000,19608600
2014-04-21,545.000000,550.000000,540.000000,545.000000,545.000000,16711500
2014-04-22,540.000000,560.000000,540.000000,560.000000,560.000000,32615700
2014-04-23,560.000000,580.000000,560.000000,580.000000,580.000000,25793900
2014-04-24,580.000000,600.000000,580.000000,595.000000,595.000000,22468500
2014-04-25,595.000000,605.000000,595.000000,600.000000,600.000000,19122200
2014-04-28,595.000000,600.000000,585.000000,590.000000,590.000000,17988900
2014-04-29,590.000000,595.000000,585.000000,590.000000,590.000000,17455100
2014-04-30,585.000000,595.000000,580.000000,585.000000,585.000000,17742600
2014-05-02,585.000000,590.000000,575.000000,580.000000,580.000000,20545200
2014-05-05,575.000000,585.000000,575.000000,575.000000,575.000000,19189300
2014-05-06,575.000000,580.000000,565.000000,570.000000,570.000000,18846600
2014-05-07,570.000000,570.000000,560.000000,570.000000,570.000000,17758300
2014-05-08,570.000000,575.000000,565.000000,570.000000,570.000000,18289300
2014-05-09,570.000000,595.000000,565.000000,585.000000,585.000000,25591200
2014-05-12,585.000000,605.000000,580.000000,595.000000,595.000000,22241700
2014-05-13,595.000000,610.000000,590.000000,595.000000,595.000000,21532500
2014-05-14,595.000000,600.000000,585.000000,585.000000,585.000000,23222000
2014-05-16,585.000000,590.000000,580.000000,585.000000,585.000000,21323000
2014-05-19,585.000000,595.000000,580.000000,585.000000,585.000000,26782300
2014-05-20,580.000000,590.000000,575.000000,580.000000,580.000000,25467000
2014-05-21,585.000000,585.000000,575.000000,585.000000,585.000000,21355300
2014-05-22,580.000000,585.000000,575.000000,580.000000,580.000000,19181300
2014-05-23,585.000000,590.000000,575.000000,585.000000,585.000000,24316400
2014-05-26,580.000000,590.000000,575.000000,580.000000,580.000000,18939600
2014-05-28,575.000000,585.000000,575.000000,575.000000,575.000000,21191700
2014-05-30,580.000000,590.000000,575.000000,580.000000,580.000000,17063400
2014-06-02,570.000000,585.000000,570.000000,570.000000,570.000000,21745100
2014-06-03,570.000000,575.000000,565.000000,570.000000,570.000000,20566600
2014-06-04,565.000000,575.000000,565.000000,565.000000,565.000000,18555800
2014-06-05,570.000000,570.000000,560.000000,565.000000,565.000000,24002800
2014-06-06,575.000000,580.000000,570.000000,575.000000,575.000000,21891600
2014-06-09,580.000000,585.000000,570.000000,580.000000,580.000000,24276600
2014-06-10,595.000000,595.000000,580.000000,595.000000,595.000000,34585000
2014-06-11,595.000000,605.000000,590.000000,595.000000,595.000000,24407400
2014-06-12,590.000000,600.000000,585.000000,590.000000,590.000000,22436400
2014-06-13,590.000000,600.000000,585.000000,590.000000,590.000000,27737400
2014-06-16,590.000000,605.000000,590.000000,590.000000,590.000000,22272600
2014-06-17,595.000000,605.000000,590.000000,595.000000,595.000000,22479400
2014-06-18,600.000000,605.000000,595.000000,600.000000,600.000000,24867400
2014-06-19,605.000000,615.000000,595.000000,605.000000,605.000000,28273200
2014-06-20,610.000000,625.000000,605.000000,610.000000,610.000000,26277400
2014-06-23,595.000000,610.000000,595.000000,595.000000,595.000000,19219300
2014-06-24,600.000000,610.000000,595.000000,600.000000,600.000000,24088900
2014-06-25,575.000000,605.000000,570.000000,575.000000,575.000000,33816200
2014-06-26,580.000000,585.000000,575.000000,580.000000,580.000000,22226200
